iter	Accuracy	Logloss
0	0.7600385703	0.6520882906
1	0.8008816031	0.6323877237
2	0.8468902816	0.6033761013
3	0.8942075893	0.5744624085
4	0.8897306976	0.5508892947
5	0.9144569179	0.52137569
6	0.918589434	0.5106450268
7	0.9296094769	0.4895784366
8	0.9390453884	0.478271327
9	0.9309869822	0.4675108679
10	0.9429712786	0.4521351397
11	0.952820442	0.4333503517
12	0.9687306286	0.4194392726
13	0.9793374196	0.4005276006
14	0.9834699357	0.3820999136
15	0.9820924303	0.3700288333
16	0.9820924303	0.3573026081
17	0.9903574625	0.3428041111
18	0.9876024518	0.3320828982
19	0.9917349678	0.3206444332
20	0.9931124732	0.3103984296
21	0.9889799571	0.3008786821
22	0.9972449893	0.2885907091
23	0.9986224946	0.2787570302
24	0.9986224946	0.2733334152
25	0.9972449893	0.2625188022
26	0.9972449893	0.2587627412
27	0.9986224946	0.2522958928
28	0.9986224946	0.2453910465
29	0.9986224946	0.2364638663
30	0.9986224946	0.2331911527
31	1	0.2276662521
32	1	0.2228561814
33	1	0.2194583063
34	1	0.2118119189
35	1	0.2049634895
36	1	0.2012732635
37	1	0.1986319595
38	1	0.1941315527
39	1	0.1936312801
40	1	0.1871322734
41	1	0.1832694562
42	1	0.180045037
43	1	0.1746423845
44	1	0.1706827945
45	1	0.1670781953
46	1	0.162648913
47	1	0.1595892866
48	1	0.1552437761
49	1	0.1516391937
50	1	0.1482099558
51	1	0.1438442391
52	1	0.1385708928
53	1	0.1347325031
54	1	0.1308488834
55	1	0.1269751144
56	1	0.1254097457
57	1	0.1221413354
58	1	0.1196385971
59	1	0.1162876862
60	1	0.1133350806
61	1	0.1108727697
62	1	0.1078318035
63	1	0.1051858815
64	1	0.1026978291
65	1	0.1008758065
66	1	0.09909677193
67	1	0.09734712198
68	1	0.09447117203
69	1	0.09269845188
70	1	0.0909218127
71	1	0.08827548133
72	1	0.0865203328
73	1	0.08555474177
74	1	0.08305325166
75	1	0.08173353187
76	1	0.08012032102
77	1	0.07800156602
78	1	0.07609108299
79	1	0.07455909624
80	1	0.07279504468
81	1	0.07156638717
82	1	0.06975075323
83	1	0.06833253214
84	1	0.06683414913
85	1	0.06647559085
86	1	0.06476264953
87	1	0.06331128768
88	1	0.06225669581
89	1	0.06102237381
90	1	0.05993514307
91	1	0.05879997651
92	1	0.05764388362
93	1	0.0563352397
94	1	0.05552153867
95	1	0.05459700005
96	1	0.05347177584
97	1	0.05232492241
98	1	0.05137025711
99	1	0.05055741192
100	1	0.0498335092
101	1	0.04907213505
102	1	0.04821422988
103	1	0.04808314648
104	1	0.0472317484
105	1	0.04640598887
106	1	0.04592973455
107	1	0.04582818343
108	1	0.04505102638
109	1	0.04426242438
110	1	0.04339700816
111	1	0.04309536936
112	1	0.0422976303
113	1	0.04156554492
114	1	0.04097625995
115	1	0.04030605349
116	1	0.03986860435
117	1	0.03912175512
118	1	0.03905798031
119	1	0.03858078828
120	1	0.03805841395
121	1	0.03752850501
122	1	0.03701558535
123	1	0.03695093145
124	1	0.03672427825
125	1	0.0362940434
126	1	0.03590160406
127	1	0.03583379138
128	1	0.03514094446
129	1	0.03500229044
130	1	0.03451841381
131	1	0.03404101628
132	1	0.03350230758
133	1	0.0331060815
134	1	0.03263420542
135	1	0.03225821234
136	1	0.03176578362
137	1	0.03126834106
138	1	0.03123792521
139	1	0.03067734371
140	1	0.03037953449
141	1	0.03024199476
142	1	0.03021126258
143	1	0.02997041341
144	1	0.02942952017
145	1	0.02895358892
146	1	0.02850350627
147	1	0.02817624335
148	1	0.02778605645
149	1	0.02745163764
150	1	0.02713062682
151	1	0.0267331833
152	1	0.02640073566
153	1	0.02611483777
154	1	0.02568105611
155	1	0.02540793818
156	1	0.02507100469
157	1	0.02476273022
158	1	0.02441268346
159	1	0.02409331226
160	1	0.02372912794
161	1	0.02343709947
162	1	0.02315505227
163	1	0.02276246227
164	1	0.02253981742
165	1	0.02231843242
166	1	0.02204162397
167	1	0.02184560515
168	1	0.02157049304
169	1	0.02129744078
170	1	0.02107598171
171	1	0.02083221057
172	1	0.02056860404
173	1	0.02037241165
174	1	0.02018107739
175	1	0.01992894933
176	1	0.0197431208
177	1	0.01957521853
178	1	0.01932070964
179	1	0.01913710483
180	1	0.01898893987
181	1	0.01875998416
182	1	0.01857506862
183	1	0.01839452786
184	1	0.01825659604
185	1	0.01808165779
186	1	0.01791627676
187	1	0.01772224143
188	1	0.01760872834
189	1	0.01744414202
190	1	0.01729508352
191	1	0.01713859111
192	1	0.01696922574
193	1	0.01680931459
194	1	0.01664153877
195	1	0.01648395024
196	1	0.01636285377
197	1	0.0161873087
198	1	0.01607898937
199	1	0.01591583235
200	1	0.01580877774
201	1	0.01561850438
202	1	0.01550943901
203	1	0.01537910516
204	1	0.01523670118
205	1	0.01512688856
206	1	0.01497316585
207	1	0.01482154307
208	1	0.01472395279
209	1	0.01462256264
210	1	0.01450986102
211	1	0.01439355305
212	1	0.01427129831
213	1	0.0141385953
214	1	0.01398266819
215	1	0.01390527703
216	1	0.01381618835
217	1	0.0137061106
218	1	0.01362944031
219	1	0.01351724256
220	1	0.01341958346
221	1	0.01331813657
222	1	0.01323202018
223	1	0.0130997313
224	1	0.01303165127
225	1	0.01294675707
226	1	0.01283868904
227	1	0.01279525932
228	1	0.01270015203
229	1	0.01268450544
230	1	0.01259451256
231	1	0.01248931375
232	1	0.01242818431
233	1	0.01235402143
234	1	0.01226065094
235	1	0.01215883143
236	1	0.01214972852
237	1	0.01208110979
238	1	0.0120732506
239	1	0.01198685182
240	1	0.0119178931
241	1	0.01184517937
242	1	0.01171604554
243	1	0.01163736629
244	1	0.01155028123
245	1	0.01148387682
246	1	0.01139362991
247	1	0.01130646643
248	1	0.01122972842
249	1	0.01116358016
250	1	0.01113535758
251	1	0.01106061049
252	1	0.01100251455
253	1	0.01097371869
254	1	0.01088523282
255	1	0.01081284809
256	1	0.01074356504
257	1	0.01069432726
258	1	0.0106690131
259	1	0.01057771421
260	1	0.0105536636
261	1	0.01050405521
262	1	0.01044689947
263	1	0.01038559329
264	1	0.01032339933
265	1	0.01023738908
266	1	0.0101588263
267	1	0.01009505319
268	1	0.010054784
269	1	0.01001012801
270	1	0.009944453193
271	1	0.009883524767
272	1	0.009815924925
273	1	0.009772063863
274	1	0.009713801634
275	1	0.009670377034
276	1	0.009613245449
277	1	0.009542079416
278	1	0.009524519042
279	1	0.009495788463
280	1	0.009443661031
281	1	0.009391155765
282	1	0.009343454867
283	1	0.009287259578
284	1	0.009231207087
285	1	0.009177683719
286	1	0.009112709226
287	1	0.009061205766
288	1	0.009008446969
289	1	0.008942800747
290	1	0.008903211796
291	1	0.008865153796
292	1	0.008822229002
293	1	0.00876738049
294	1	0.008712216213
295	1	0.008680020183
296	1	0.008642667991
297	1	0.008591397053
298	1	0.0085470874
299	1	0.008504467215
300	1	0.008432670162
301	1	0.008371581936
302	1	0.008332473369
303	1	0.008292387845
304	1	0.008240231398
305	1	0.008200827779
306	1	0.008163993165
307	1	0.008124785526
308	1	0.008069683615
309	1	0.008023920659
310	1	0.007970321957
311	1	0.0079215891
312	1	0.007884011474
313	1	0.007847307583
314	1	0.007831188223
315	1	0.00779337336
316	1	0.007750346581
317	1	0.007713641581
318	1	0.007674741882
319	1	0.007636730475
320	1	0.007594172708
321	1	0.007594084782
322	1	0.007561458738
323	1	0.007517680463
324	1	0.007480933366
325	1	0.007480928387
326	1	0.007451209277
327	1	0.007419840239
328	1	0.007369632472
329	1	0.007343320115
330	1	0.007317322797
331	1	0.00728763644
332	1	0.007264048591
333	1	0.007231129301
334	1	0.00721558506
335	1	0.007215506689
336	1	0.007202344345
337	1	0.007182972266
338	1	0.007152365716
339	1	0.007115863516
340	1	0.007096916076
341	1	0.00705266528
342	1	0.007032692623
343	1	0.00700140193
344	1	0.007001382733
345	1	0.006997817283
346	1	0.006979074316
347	1	0.006968793852
348	1	0.006938373658
349	1	0.006899866696
350	1	0.006899862578
351	1	0.006862942842
352	1	0.006838451428
353	1	0.006812163665
354	1	0.006763784537
355	1	0.006760447913
356	1	0.006741693936
357	1	0.006709990053
358	1	0.00670710684
359	1	0.006677909986
360	1	0.006647557414
361	1	0.006614214526
362	1	0.006588887694
363	1	0.006559799443
364	1	0.006534549104
365	1	0.006531546141
366	1	0.006504706113
367	1	0.0064713701
368	1	0.006471369242
369	1	0.006438957881
370	1	0.006438942987
371	1	0.006437029882
372	1	0.006413039574
373	1	0.006413023791
374	1	0.006389777833
375	1	0.006389092871
376	1	0.006358627434
377	1	0.006332505111
378	1	0.006317268894
379	1	0.00631408693
380	1	0.006312237026
381	1	0.006289016321
382	1	0.006270277299
383	1	0.006240338028
384	1	0.006209236132
385	1	0.006179851566
386	1	0.00615384092
387	1	0.006130319998
388	1	0.006100018304
389	1	0.006082083995
390	1	0.006047138628
391	1	0.006011743958
392	1	0.005990077283
393	1	0.005987486481
394	1	0.005958073784
395	1	0.005935040536
396	1	0.005901338527
397	1	0.005872803599
398	1	0.005847264809
399	1	0.005826398889
400	1	0.005809752457
401	1	0.005782302233
402	1	0.005757910533
403	1	0.005757889102
404	1	0.005736382121
405	1	0.00571125017
406	1	0.005711064748
407	1	0.005682669529
408	1	0.005663988466
409	1	0.005639231381
410	1	0.005622198653
411	1	0.005597704767
412	1	0.005574888123
413	1	0.005558255079
414	1	0.005535258364
415	1	0.00551676058
416	1	0.005487893143
417	1	0.00546688944
418	1	0.005451497175
419	1	0.005428337533
420	1	0.005405559818
421	1	0.005405535032
422	1	0.005388026661
423	1	0.005366223177
424	1	0.005355453868
425	1	0.005339482858
426	1	0.005325378425
427	1	0.005309239697
428	1	0.005289216687
429	1	0.005278849783
430	1	0.005258745543
431	1	0.005248133764
432	1	0.00524811112
433	1	0.005228770217
434	1	0.00522876312
435	1	0.005207851935
436	1	0.005194046376
437	1	0.005172170274
438	1	0.005172143377
439	1	0.005159192243
440	1	0.005144731829
441	1	0.005121667126
442	1	0.005110124784
443	1	0.005091456226
444	1	0.005091441219
445	1	0.005075677402
446	1	0.005061721371
447	1	0.005040245926
448	1	0.005018818933
449	1	0.005007773832
450	1	0.004992565598
451	1	0.004976615123
452	1	0.004966366329
453	1	0.004954520803
454	1	0.004941799695
455	1	0.004924264134
456	1	0.004908409391
457	1	0.004908403174
458	1	0.00488430659
459	1	0.004868270344
460	1	0.004868263078
461	1	0.004850029828
462	1	0.004850025831
463	1	0.004838280473
464	1	0.004829562642
465	1	0.004814431091
466	1	0.004813266973
467	1	0.004811663282
468	1	0.004811652151
469	1	0.004796412409
470	1	0.004796370964
471	1	0.004779247113
472	1	0.004762484106
473	1	0.00474622367
474	1	0.004733677729
475	1	0.004718838508
476	1	0.004718829574
477	1	0.0047066863
478	1	0.004706603927
479	1	0.004694332187
480	1	0.004679486563
481	1	0.004666026387
482	1	0.004655064958
483	1	0.00464442622
484	1	0.004632462681
485	1	0.004615496843
486	1	0.004600270649
487	1	0.004591173343
488	1	0.004591041781
489	1	0.004577103681
490	1	0.004563028463
491	1	0.004550524424
492	1	0.004540627503
493	1	0.004529320379
494	1	0.004518450279
495	1	0.004503772515
496	1	0.004503770379
497	1	0.00450376351
498	1	0.004484779752
499	1	0.004484774052
